time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
8.724066,0.0605,-0.0126,0.1131,0.129
8.744165,0.2001,0.0228,0.0690,0.213
8.761652,0.2868,0.0422,-0.1572,0.330
8.781347,0.1497,0.0058,-0.3696,0.399
8.800542,0.0352,-0.1127,-0.4649,0.480
8.820745,-0.3081,-0.0456,-0.4728,0.566
8.838622,-0.1360,-0.0021,-0.3371,0.363
8.856982,-0.0799,-0.0985,-0.2104,0.246
8.875875,-0.1125,-0.0828,-0.0591,0.152
8.896271,-0.1488,0.0737,-0.3912,0.425
8.914603,-0.0712,0.0667,-0.4546,0.465
8.933923,-0.0684,-0.0197,-0.0449,0.084
8.952048,-0.1147,-0.0942,0.0506,0.157
8.970601,-0.0668,-0.0471,0.1220,0.147
8.990506,0.0808,-0.1198,0.3390,0.368
9.008835,0.0117,-0.1633,0.2669,0.313
9.028349,0.0743,0.0436,0.2014,0.219
9.047918,0.0389,0.2888,-0.0419,0.294
9.071050,-0.0374,0.5128,0.0074,0.514
9.085785,0.0982,0.4556,0.1442,0.488
9.104432,0.1367,0.4228,-0.1858,0.482
