"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"12/18/2022","43","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","35",".","43"
"12/19/2022","34","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","29",".","34"
"12/20/2022","33","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","30",".","33"
"12/21/2022","36","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","23",".","36"
"12/22/2022","39","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","23",".","39"
"12/23/2022","37","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","26",".","37"
"12/24/2022","35","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","25",".","35"
"12/25/2022","55","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","15",".","55"
"12/26/2022","54","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","27",".","54"
"12/27/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","37",".","3"
"12/28/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","36",".","11"
"12/29/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31",".","20"
"12/30/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31",".","19"
"12/31/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33",".","28"
